Draw 1
1,Mason Thomas (Cohort: C22)
2,Ava Wilson (Cohort: C22)
3,Noah Davis (Cohort: C22)
4,Lucas Rodriguez (Cohort: C23)
5,Liam Smith (Cohort: C22)
6,Benjamin Garcia (Cohort: C23)
7,Ethan Taylor (Cohort: C22)
8,Alexander Lee (Cohort: C23)
9,Emma Johnson (Cohort: C22)
10,Sophia Anderson (Cohort: C22)
11,Amelia Martinez (Cohort: C23)
12,Evelyn Lewis (Cohort: C23)
13,Charlotte Thompson (Cohort: C23)
14,Isabella Jackson (Cohort: C22)
15,Harper Clark (Cohort: C23)
16,Mia Harris (Cohort: C23)
17,Elijah Robinson (Cohort: C23)
18,James Martin (Cohort: C23)
19,Olivia Brown (Cohort: C22)
20,William White (Cohort: C22)

Draw 2
1,Ava Wilson (Cohort: C22)
2,Harper Clark (Cohort: C23)
3,Amelia Martinez (Cohort: C23)
4,Charlotte Thompson (Cohort: C23)
5,Elijah Robinson (Cohort: C23)
6,Emma Johnson (Cohort: C22)
7,Isabella Jackson (Cohort: C22)
8,Liam Smith (Cohort: C22)
9,Alexander Lee (Cohort: C23)
10,Benjamin Garcia (Cohort: C23)
11,Lucas Rodriguez (Cohort: C23)
12,Mason Thomas (Cohort: C22)
13,William White (Cohort: C22)
14,Olivia Brown (Cohort: C22)
15,Noah Davis (Cohort: C22)
16,James Martin (Cohort: C23)
17,Sophia Anderson (Cohort: C22)
18,Mia Harris (Cohort: C23)
19,Ethan Taylor (Cohort: C22)
20,Evelyn Lewis (Cohort: C23)

